Accession,annot,organism,taxid,organism2,taxid2
GSE89888,GPL11154,Homo sapiens,9606,NA,NA
GSE89896,GPL11002,Mus musculus,10090,NA,NA
GSE89897,GPL17021,Mus musculus,10090,NA,NA
GSE89899,GPL13112,Mus musculus,10090,NA,NA
GSE89900,GPL17021,Mus musculus,10090,NA,NA
GSE89911,GPL17225,Schizosaccharomyces pombe,4896,NA,NA
GSE89914,GPL22668,Schizosaccharomyces pombe,4896,NA,NA
GSE89914,GPL22681,Schizosaccharomyces pombe,4896,NA,NA
GSE89914,GPL22682,Schizosaccharomyces pombe,4896,NA,NA
GSE89928,GPL9185,Mus musculus,10090,NA,NA
GSE89930,GPL11154,Homo sapiens,9606,NA,NA
GSE89940,GPL18573,Homo sapiens,9606,NA,NA
GSE89942,GPL18573,Homo sapiens,9606,NA,NA
GSE89950,GPL11154,Homo sapiens,9606,NA,NA
GSE89952,GPL13112,Mus musculus,10090,NA,NA
GSE89957,GPL11154,Homo sapiens,9606,NA,NA
GSE89957,GPL15520,Homo sapiens,9606,NA,NA
GSE89964,GPL22689,Streptococcus sanguinis,1305,NA,NA
GSE89970,GPL20301,Homo sapiens,9606,NA,NA
GSE89981,GPL21103,Mus musculus,10090,NA,NA
GSE89993,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE89999,GPL16957,Synechococcus elongatus PCC 7942,1140,NA,NA
GSE90004,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90013,GPL16791,Homo sapiens,9606,NA,NA
GSE90022,GPL19778,Ovis aries,9940,NA,NA
GSE90036,GPL13112,Mus musculus,10090,NA,NA
GSE90047,GPL13112,Mus musculus,10090,NA,NA
GSE90047,GPL17021,Mus musculus,10090,NA,NA
GSE90053,GPL16791,Homo sapiens,9606,NA,NA
GSE90053,GPL17021,Mus musculus,10090,NA,NA
GSE90056,GPL15010,Escherichia coli str. K-12 substr. MG1655,511145,NA,NA
GSE90059,GPL13112,Mus musculus,10090,NA,NA
GSE90063,GPL18573,Homo sapiens,9606,NA,NA
GSE90063,GPL19057,Mus musculus,10090,NA,NA
GSE90067,GPL17021,Mus musculus,10090,NA,NA
GSE90068,GPL11154,Homo sapiens,9606,NA,NA
GSE90070,GPL17021,Mus musculus,10090,NA,NA
GSE90071,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90075,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90077,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90080,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90081,GPL11154,Homo sapiens,9606,NA,NA
GSE90083,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE90087,GPL11154,Homo sapiens,9606,NA,NA
GSE90089,GPL15749,Bos taurus,9913,NA,NA
GSE90091,GPL19057,Mus musculus,10090,NA,NA
GSE90094,GPL19057,Mus musculus,10090,NA,NA
GSE90101,GPL18635,Mus musculus,10090,NA,NA
GSE90105,GPL21656,Saccharomyces cerevisiae,4932,NA,NA
GSE90105,GPL22698,Saccharomyces mikatae,114525,NA,NA
GSE90105,GPL22699,Saccharomyces bayanus,4931,NA,NA
GSE90108,GPL18635,Mus musculus,10090,NA,NA
GSE90111,GPL11154,Homo sapiens,9606,NA,NA
GSE90113,GPL22700,Sciaenops ocellatus,76340,NA,NA
GSE90116,GPL13112,Mus musculus,10090,NA,NA
GSE90128,GPL19168,Escherichia coli K-12,83333,NA,NA
GSE90130,GPL21493,Mus musculus,10090,NA,NA
GSE90134,GPL18480,Mus musculus,10090,NA,NA
GSE90136,GPL13112,Mus musculus,10090,NA,NA
GSE90140,GPL17021,Mus musculus,10090,NA,NA
GSE90143,GPL18413,Danio rerio,7955,NA,NA
GSE90144,GPL22682,Schizosaccharomyces pombe,4896,NA,NA
GSE90148,GPL17021,Mus musculus,10090,NA,NA
GSE90153,GPL17021,Mus musculus,10090,NA,NA
GSE90160,GPL13112,Mus musculus,10090,NA,NA
GSE90166,GPL21140,Streptococcus mutans,1309,NA,NA
GSE90447,GPL13112,Mus musculus,10090,NA,NA
GSE90455,GPL16791,Homo sapiens,9606,NA,NA
GSE90466,GPL13112,Mus musculus,10090,NA,NA
GSE90466,GPL21103,Mus musculus,10090,NA,NA
GSE90468,GPL21290,Homo sapiens,9606,NA,NA
GSE90469,GPL11154,Homo sapiens,9606,NA,NA
GSE90478,GPL13112,Mus musculus,10090,NA,NA
GSE90485,GPL21222,Escherichia coli,562,NA,NA
GSE90486,GPL19057,Mus musculus,10090,NA,NA
GSE90489,GPL16791,Homo sapiens,9606,NA,NA
GSE90489,GPL21290,Homo sapiens,9606,NA,NA
GSE90491,GPL18573,Homo sapiens,9606,NA,NA
GSE90497,GPL17021,Mus musculus,10090,NA,NA
GSE90511,GPL11429,Sus scrofa,9823,NA,NA
GSE90514,GPL11154,Homo sapiens,9606,NA,NA
GSE90516,GPL17021,Mus musculus,10090,NA,NA
GSE90519,GPL18573,Homo sapiens,9606,NA,NA
GSE90522,GPL17021,Mus musculus,10090,NA,NA
GSE90523,GPL18460,Homo sapiens,9606,NA,NA
GSE90531,GPL13112,Mus musculus,10090,NA,NA
GSE90533,GPL13112,Mus musculus,10090,NA,NA
GSE90533,GPL19057,Mus musculus,10090,NA,NA
GSE90552,GPL16791,Homo sapiens,9606,NA,NA
GSE90553,GPL11154,Homo sapiens,9606,NA,NA
GSE90553,GPL15520,Homo sapiens,9606,NA,NA
GSE90553,GPL20301,Homo sapiens,9606,NA,NA
GSE90566,GPL11154,Homo sapiens,9606,NA,NA
GSE90569,GPL16791,Homo sapiens,9606,NA,NA
GSE90573,GPL13112,Mus musculus,10090,NA,NA
GSE90595,GPL18413,Danio rerio,7955,NA,NA
GSE90596,GPL22709,Citrus limon,2708,NA,NA
GSE90599,GPL10999,Homo sapiens,9606,NA,NA
GSE90600,GPL16791,Homo sapiens,9606,NA,NA
GSE90615,GPL13112,Mus musculus,10090,NA,NA
GSE90625,GPL13112,Mus musculus,10090,NA,NA
GSE90626,GPL22713,Carassius gibelio,101364,NA,NA
GSE90636,GPL17342,Saccharomyces cerevisiae,4932,NA,NA
GSE90639,GPL15433,Homo sapiens,9606,NA,NA
GSE90654,GPL17021,Mus musculus,10090,NA,NA
GSE90655,GPL19057,Mus musculus,10090,NA,NA
GSE90659,GPL11154,Homo sapiens,9606,NA,NA
GSE90671,GPL22719,Nesidiocoris tenuis,355587,NA,NA
GSE90682,GPL16791,Homo sapiens,9606,NA,NA
GSE90682,GPL18573,Homo sapiens,9606,NA,NA
GSE90683,GPL16791,Homo sapiens,9606,NA,NA
GSE90684,GPL15433,Homo sapiens,9606,NA,NA
GSE90687,GPL17021,Mus musculus,10090,NA,NA
GSE90693,GPL13112,Mus musculus,10090,NA,NA
GSE90703,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE90711,GPL11154,Homo sapiens,9606,NA,NA
GSE90712,GPL19057,Mus musculus,10090,NA,NA
GSE90715,GPL11154,Homo sapiens,9606,NA,NA
GSE90718,GPL16791,Homo sapiens,9606,NA,NA
GSE90725,GPL17021,Mus musculus,10090,NA,NA
GSE90728,GPL16791,Homo sapiens,9606,NA,NA
GSE90729,GPL16791,Homo sapiens,9606,NA,NA
GSE90731,GPL17021,Mus musculus,10090,NA,NA
GSE90743,GPL18133,Escherichia coli,562,NA,NA
GSE90744,GPL18694,Rattus norvegicus,10116,NA,NA
GSE90747,GPL19694,Solanum lycopersicum,4081,NA,NA
GSE90749,GPL11154,Homo sapiens,9606,NA,NA
GSE90754,GPL17021,Mus musculus,10090,NA,NA
GSE90758,GPL19057,Mus musculus,10090,NA,NA
GSE90761,GPL22727,mixed sample,1427524,NA,NA
GSE90766,GPL13112,Mus musculus,10090,NA,NA
GSE90781,GPL11154,Homo sapiens,9606,NA,NA
GSE90785,GPL18573,Homo sapiens,9606,NA,NA
GSE90792,GPL22733,Clostridium autoethanogenum,84023,NA,NA
GSE90796,GPL11154,Homo sapiens,9606,NA,NA
GSE90797,GPL21103,Mus musculus,10090,NA,NA
GSE90800,GPL17021,Mus musculus,10090,NA,NA
GSE90806,GPL19057,Mus musculus,10090,NA,NA
GSE90809,GPL17021,Mus musculus,10090,NA,NA
GSE90813,GPL16791,Homo sapiens,9606,NA,NA
GSE90815,GPL13112,Mus musculus,10090,NA,NA
GSE90816,GPL17021,Mus musculus,10090,NA,NA
GSE90817,GPL22736,Methylosinus trichosporium,426,NA,NA
GSE90821,GPL13112,Mus musculus,10090,NA,NA
GSE90822,GPL17021,Mus musculus,10090,NA,NA
GSE90822,GPL21103,Mus musculus,10090,NA,NA
GSE90824,GPL13112,Mus musculus,10090,NA,NA
GSE90827,GPL21103,Mus musculus,10090,NA,NA
GSE90829,GPL22784,Dictyostelium discoideum,44689,NA,NA
GSE90830,GPL11154,Homo sapiens,9606,NA,NA
GSE90834,GPL18573,Homo sapiens,9606,NA,NA
GSE90837,GPL22396,Rattus norvegicus,10116,NA,NA
GSE90838,GPL18017,Notamacropus eugenii,9315,NA,NA
GSE90838,GPL22742,Notamacropus eugenii,9315,NA,NA
GSE90841,GPL16440,Brassica rapa,3711,NA,NA
GSE90845,GPL22744,Vibrio harveyi,669,NA,NA
GSE90847,GPL13112,Mus musculus,10090,NA,NA
GSE90848,GPL19057,Mus musculus,10090,NA,NA
GSE90854,GPL19057,Mus musculus,10090,NA,NA
GSE90855,GPL19057,Mus musculus,10090,NA,NA
GSE90856,GPL17021,Mus musculus,10090,NA,NA
GSE90860,GPL13112,Mus musculus,10090,NA,NA
GSE90869,GPL17021,Mus musculus,10090,NA,NA
GSE90876,GPL21290,Homo sapiens,9606,NA,NA
GSE90884,GPL18573,Homo sapiens,9606,NA,NA
GSE90885,GPL13112,Mus musculus,10090,NA,NA
GSE90889,GPL18573,Homo sapiens,9606,NA,NA
GSE90890,GPL17021,Mus musculus,10090,NA,NA
GSE90891,GPL13112,Mus musculus,10090,NA,NA
GSE90894,GPL9185,Mus musculus,10090,NA,NA
GSE90897,GPL18573,Homo sapiens,9606,NA,NA
GSE90899,GPL15706,Tetrahymena thermophila,5911,NA,NA
GSE90906,GPL21103,Mus musculus,10090,NA,NA
GSE90908,GPL17021,Mus musculus,10090,NA,NA
GSE90913,GPL13112,Mus musculus,10090,NA,NA
GSE90914,GPL11154,Homo sapiens,9606,NA,NA
GSE90921,GPL21103,Mus musculus,10090,NA,NA
GSE90925,GPL19580,Arabidopsis thaliana,3702,NA,NA
GSE90929,GPL19057,Mus musculus,10090,NA,NA
GSE90935,GPL22751,(Citrus unshiu x Citrus sinensis) x Citrus reticulata,1868278,NA,NA
GSE90935,GPL22752,Citrus reticulata x Citrus sinensis,1084239,NA,NA
GSE90941,GPL21538,Tursiops truncatus,9739,NA,NA
GSE90952,GPL13112,Mus musculus,10090,NA,NA
GSE90955,GPL22758,Cellvibrio japonicus,155077,NA,NA
GSE90958,GPL17021,Mus musculus,10090,NA,NA
GSE90958,GPL21103,Mus musculus,10090,NA,NA
GSE90962,GPL13112,Mus musculus,10090,NA,NA
GSE90969,GPL17021,Mus musculus,10090,NA,NA
GSE90971,GPL14875,Danio rerio,7955,NA,NA
GSE90974,GPL22761,Aedes aegypti,7159,NA,NA
GSE90976,GPL19057,Mus musculus,10090,NA,NA
GSE90977,GPL13112,Mus musculus,10090,NA,NA
GSE90982,GPL18573,Homo sapiens,9606,NA,NA
GSE90983,GPL19057,Mus musculus,10090,NA,NA
GSE91000,GPL18460,Homo sapiens,9606,NA,NA
GSE91001,GPL14548,Escherichia coli,562,NA,NA
GSE91001,GPL20262,Escherichia coli O127:H6 str. E2348/69,574521,NA,NA
GSE91016,GPL11154,Homo sapiens,9606,NA,NA
GSE91024,GPL14875,Danio rerio,7955,NA,NA
GSE91039,GPL22765,Caenorhabditis elegans,6239,NA,NA
GSE91040,GPL15907,Mus musculus,10090,NA,NA
GSE91051,GPL18573,Homo sapiens,9606,NA,NA
GSE91052,GPL21103,Mus musculus,10090,NA,NA
GSE91059,GPL19129,Macaca mulatta,9544,NA,NA
GSE91060,GPL19005,Gallus gallus,9031,NA,NA
GSE91062,GPL16791,Homo sapiens,9606,NA,NA
GSE91062,GPL17021,Mus musculus,10090,NA,NA
GSE91063,GPL17301,Homo sapiens,9606,NA,NA
GSE91073,GPL19757,Caenorhabditis elegans,6239,NA,NA
GSE91075,GPL15103,Mus musculus,10090,NA,NA
GSE91078,GPL19057,Mus musculus,10090,NA,NA
GSE91081,GPL17021,Mus musculus,10090,NA,NA
GSE91086,GPL19729,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,NA,NA
GSE91086,GPL20056,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,NA,NA
GSE91086,GPL22775,Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344,216597,NA,NA
GSE91087,GPL18573,Homo sapiens,9606,NA,NA
GSE91187,GPL22776,Mesocricetus auratus,10036,NA,NA
GSE91383,GPL11154,Homo sapiens,9606,NA,NA
GSE91384,GPL11154,Homo sapiens,9606,NA,NA
GSE91384,GPL19367,Homo sapiens,9606,NA,NA
GSE91388,GPL16436,Solanum tuberosum,4113,NA,NA
GSE91388,GPL22257,Solanum tuberosum,4113,NA,NA
GSE91390,GPL17021,Mus musculus,10090,NA,NA
GSE91395,GPL15520,Homo sapiens,9606,NA,NA
GSE91395,GPL18573,Homo sapiens,9606,NA,NA
GSE91395,GPL19424,synthetic construct,32630,NA,NA
GSE91395,GPL22779,unidentified,32644,NA,NA
GSE91396,GPL13112,Mus musculus,10090,NA,NA
GSE91398,GPL18635,Mus musculus,10090,NA,NA
GSE91400,GPL15083,Chlamydomonas reinhardtii,3055,NA,NA
GSE91402,GPL13112,Mus musculus,10090,NA,NA
GSE92238,GPL19057,Mus musculus,10090,NA,NA
GSE92239,GPL10999,Homo sapiens,9606,NA,NA
GSE92246,GPL16192,Schizosaccharomyces pombe,4896,NA,NA
GSE92247,GPL19057,Mus musculus,10090,NA,NA
GSE92247,GPL20084,Rattus norvegicus,10116,NA,NA
GSE92257,GPL17021,Mus musculus,10090,NA,NA
GSE92262,GPL18460,Homo sapiens,9606,NA,NA
GSE92263,GPL17021,Mus musculus,10090,NA,NA
GSE92272,GPL21103,Mus musculus,10090,NA,NA
GSE92275,GPL11002,Mus musculus,10090,NA,NA
GSE92276,GPL16791,Homo sapiens,9606,NA,NA
GSE92277,GPL16791,Homo sapiens,9606,NA,NA
GSE92282,GPL13112,Mus musculus,10090,NA,NA
GSE92283,GPL16540,Canis lupus familiaris,9615,NA,NA
GSE92283,GPL21400,Canis lupus familiaris,9615,NA,NA
GSE92292,GPL13112,Mus musculus,10090,NA,NA
GSE92301,GPL17021,Mus musculus,10090,NA,NA
GSE92302,GPL19290,Oryza sativa,4530,NA,NA
GSE92305,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE92306,GPL13821,Saccharomyces cerevisiae,4932,NA,NA
GSE92308,GPL17021,Mus musculus,10090,NA,NA
GSE92314,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE92316,GPL21290,Homo sapiens,9606,NA,NA
GSE92322,GPL11154,Homo sapiens,9606,NA,NA
GSE92332,GPL19057,Mus musculus,10090,NA,NA
GSE92333,GPL17021,Mus musculus,10090,NA,NA
GSE92337,GPL22788,Sordaria macrospora,5147,NA,NA
GSE92341,GPL16791,Homo sapiens,9606,NA,NA
GSE92345,GPL16791,Homo sapiens,9606,NA,NA
GSE92345,GPL22790,Homo sapiens,9606,NA,NA
GSE92345,GPL22791,Drosophila melanogaster,7227,NA,NA
GSE92350,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE92364,GPL17021,Mus musculus,10090,NA,NA
GSE92373,GPL21332,Sus scrofa,9823,NA,NA
GSE92377,GPL13112,Mus musculus,10090,NA,NA
GSE92395,GPL19057,Mus musculus,10090,NA,NA
GSE92406,GPL15463,Zea mays,4577,NA,NA
GSE92419,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE92429,GPL22800,Ambystoma mexicanum,8296,NA,NA
GSE92431,GPL13304,Drosophila melanogaster,7227,NA,NA
GSE92431,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE92440,GPL18413,Danio rerio,7955,NA,NA
GSE92448,GPL15463,Zea mays,4577,NA,NA
GSE92449,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE92456,GPL18460,Homo sapiens,9606,NA,NA
GSE92463,GPL15907,Mus musculus,10090,NA,NA
GSE92470,GPL22801,Polyodon spathula,7913,NA,NA
GSE92478,GPL16791,Homo sapiens,9606,NA,NA
GSE92486,GPL17021,Mus musculus,10090,NA,NA
GSE92489,GPL14875,Danio rerio,7955,NA,NA
GSE92494,GPL18573,Homo sapiens,9606,NA,NA
GSE92495,GPL18573,Homo sapiens,9606,NA,NA
GSE92495,GPL19415,Homo sapiens,9606,NA,NA
GSE92496,GPL15520,Homo sapiens,9606,NA,NA
GSE92496,GPL16791,Homo sapiens,9606,NA,NA
GSE92522,GPL13112,Mus musculus,10090,NA,NA
GSE92532,GPL18573,Homo sapiens,9606,NA,NA
GSE92535,GPL13112,Mus musculus,10090,NA,NA
GSE92539,GPL13112,Mus musculus,10090,NA,NA
GSE92539,GPL17021,Mus musculus,10090,NA,NA
GSE92541,GPL16791,Homo sapiens,9606,NA,NA
GSE92542,GPL18413,Danio rerio,7955,NA,NA
GSE92547,GPL16791,Homo sapiens,9606,NA,NA
GSE92548,GPL13112,Mus musculus,10090,NA,NA
GSE92559,GPL18413,Danio rerio,7955,NA,NA
GSE92560,GPL19057,Mus musculus,10090,NA,NA
GSE92562,GPL13112,Mus musculus,10090,NA,NA
GSE92575,GPL19057,Mus musculus,10090,NA,NA
GSE92581,GPL16791,Homo sapiens,9606,NA,NA
GSE92583,GPL18573,Homo sapiens,9606,NA,NA
GSE92589,GPL19057,Mus musculus,10090,NA,NA
GSE92592,GPL11154,Homo sapiens,9606,NA,NA
GSE92601,GPL18956,Escherichia coli str. K-12 substr. MG1655,511145,NA,NA
GSE92602,GPL9250,Mus musculus,10090,NA,NA
GSE92605,GPL17021,Mus musculus,10090,NA,NA
GSE92611,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE92618,GPL19057,Mus musculus,10090,NA,NA
GSE92620,GPL18635,Mus musculus,10090,NA,NA
GSE92628,GPL16791,Homo sapiens,9606,NA,NA
GSE92629,GPL17021,Mus musculus,10090,NA,NA
GSE92634,GPL13112,Mus musculus,10090,NA,NA
GSE92639,GPL14875,Danio rerio,7955,NA,NA
GSE92641,GPL16417,Mus musculus,10090,NA,NA
GSE92650,GPL13112,Mus musculus,10090,NA,NA
GSE92651,GPL11154,Homo sapiens,9606,NA,NA
GSE92652,GPL16791,Homo sapiens,9606,NA,NA
GSE92659,GPL18573,Homo sapiens,9606,NA,NA
GSE92661,GPL16791,Homo sapiens,9606,NA,NA
GSE92677,GPL11002,Mus musculus,10090,NA,NA
GSE92677,GPL17021,Mus musculus,10090,NA,NA
GSE92677,GPL21493,Mus musculus,10090,NA,NA
GSE92690,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE92690,GPL18245,Caenorhabditis elegans,6239,NA,NA
GSE92690,GPL22765,Caenorhabditis elegans,6239,NA,NA
GSE92702,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE92704,GPL17021,Mus musculus,10090,NA,NA
GSE92704,GPL19057,Mus musculus,10090,NA,NA
GSE92707,GPL21103,Mus musculus,10090,NA,NA
GSE92720,GPL17021,Mus musculus,10090,NA,NA
GSE92721,GPL17021,Mus musculus,10090,NA,NA
GSE92722,GPL22828,Actinobacillus succinogenes 130Z,339671,NA,NA
GSE92723,GPL11154,Homo sapiens,9606,NA,NA
GSE92730,GPL18289,Bombus terrestris,30195,NA,NA
GSE92732,GPL22840,Lactobacillus acetotolerans,1600,NA,NA
GSE92739,GPL11154,Homo sapiens,9606,NA,NA
GSE92740,GPL20828,Danio rerio,7955,NA,NA
GSE92744,GPL18573,Homo sapiens,9606,NA,NA
GSE92751,GPL17021,Mus musculus,10090,NA,NA
GSE92754,GPL18413,Danio rerio,7955,NA,NA
GSE92759,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE92760,GPL14875,Danio rerio,7955,NA,NA
GSE92772,GPL16791,Homo sapiens,9606,NA,NA
GSE92779,GPL17021,Mus musculus,10090,NA,NA
GSE92842,GPL17021,Mus musculus,10090,NA,NA
GSE92844,GPL17021,Mus musculus,10090,NA,NA
GSE92847,GPL22847,Vibrio parahaemolyticus,670,NA,NA
GSE92848,GPL16164,Neurospora crassa,5141,NA,NA
GSE92848,GPL20705,Neurospora crassa,5141,NA,NA
GSE92852,GPL18460,Homo sapiens,9606,NA,NA
GSE92855,GPL22853,Callosobruchus maculatus,64391,NA,NA
GSE92856,GPL18694,Rattus norvegicus,10116,NA,NA
GSE92858,GPL20084,Rattus norvegicus,10116,NA,NA
GSE92859,GPL21631,Beta vulgaris,161934,NA,NA
GSE92865,GPL19057,Mus musculus,10090,NA,NA
GSE92872,GPL18573,Homo sapiens,9606,NA,NA
GSE92872,GPL19969,Homo sapiens,9606,NA,NA
GSE92872,GPL20301,Homo sapiens,9606,NA,NA
GSE92874,GPL16791,Homo sapiens,9606,NA,NA
GSE92882,GPL11154,Homo sapiens,9606,NA,NA
GSE92882,GPL20301,Homo sapiens,9606,NA,NA
GSE92887,GPL16791,Homo sapiens,9606,NA,NA
GSE92887,GPL17021,Mus musculus,10090,NA,NA
GSE92892,GPL17021,Mus musculus,10090,NA,NA
GSE92902,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE92905,GPL17021,Mus musculus,10090,NA,NA
GSE92922,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE92933,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE92937,GPL22859,Agrobacterium sp. ATCC 31749,82789,NA,NA
GSE92943,GPL18573,Homo sapiens,9606,NA,NA
GSE92954,GPL13657,Caenorhabditis elegans,6239,NA,NA
GSE92965,GPL13112,Mus musculus,10090,NA,NA
GSE92968,GPL13112,Mus musculus,10090,NA,NA
GSE92971,GPL16791,Homo sapiens,9606,NA,NA
GSE92981,GPL11429,Sus scrofa,9823,NA,NA
GSE92989,GPL13160,Oryza sativa,4530,NA,NA
GSE92992,GPL17021,Mus musculus,10090,NA,NA
GSE92999,GPL17021,Mus musculus,10090,NA,NA
GSE93000,GPL22870,Hafnia alvei,569,NA,NA
GSE93006,GPL17021,Mus musculus,10090,NA,NA
GSE93021,GPL11429,Sus scrofa,9823,NA,NA
GSE93024,GPL19580,Arabidopsis thaliana,3702,NA,NA
GSE93027,GPL19057,Mus musculus,10090,NA,NA
GSE93028,GPL19174,Apis mellifera,7460,NA,NA
GSE93028,GPL24017,Apis mellifera,7460,NA,NA
GSE93030,GPL16791,Homo sapiens,9606,NA,NA
GSE93031,GPL18480,Mus musculus,10090,NA,NA
GSE93034,GPL17021,Mus musculus,10090,NA,NA
GSE93056,GPL22874,Phycomyces blakesleeanus,4837,NA,NA
GSE93057,GPL16791,Homo sapiens,9606,NA,NA
GSE93061,GPL17021,Mus musculus,10090,NA,NA
GSE93066,GPL16590,Pseudotsuga menziesii,3357,NA,NA
GSE93067,GPL16590,Pseudotsuga menziesii,3357,NA,NA
GSE93069,GPL20301,Homo sapiens,9606,NA,NA
GSE93070,GPL18573,Homo sapiens,9606,NA,NA
GSE93071,GPL16791,Homo sapiens,9606,NA,NA
GSE93072,GPL18573,Homo sapiens,9606,NA,NA
GSE93073,GPL15520,Homo sapiens,9606,NA,NA
GSE93081,GPL19290,Oryza sativa,4530,NA,NA
GSE93085,GPL13112,Mus musculus,10090,NA,NA
GSE93089,GPL15579,Brassica napus,3708,NA,NA
GSE93089,GPL22878,Orychophragmus violaceus,71234,NA,NA
GSE93090,GPL20301,Homo sapiens,9606,NA,NA
GSE93090,GPL21103,Mus musculus,10090,NA,NA
GSE93090,GPL9250,Mus musculus,10090,NA,NA
GSE93102,GPL22880,Streptococcus pneumoniae D39,373153,NA,NA
GSE93103,GPL19057,Mus musculus,10090,NA,NA
GSE93107,GPL19057,Mus musculus,10090,NA,NA
GSE93125,GPL18133,Escherichia coli,562,NA,NA
GSE93127,GPL13112,Mus musculus,10090,NA,NA
GSE93127,GPL17021,Mus musculus,10090,NA,NA
GSE93128,GPL17275,Drosophila melanogaster,7227,NA,NA
GSE93131,GPL13112,Mus musculus,10090,NA,NA
GSE93133,GPL15456,Homo sapiens,9606,NA,NA
GSE93144,GPL19951,Drosophila melanogaster,7227,NA,NA
GSE93153,GPL11154,Homo sapiens,9606,NA,NA
GSE93154,GPL16331,Mus musculus,10090,NA,NA
GSE93155,GPL11154,Homo sapiens,9606,NA,NA
GSE93156,GPL11154,Homo sapiens,9606,NA,NA
GSE93167,GPL17021,Mus musculus,10090,NA,NA
GSE93191,GPL22892,Labrus bergylta,56723,NA,NA
GSE93195,GPL17682,Xenopus laevis,8355,NA,NA
GSE93197,GPL20970,Prochlorococcus marinus str. NATL2A,59920,NA,NA
GSE93197,GPL20972,Alteromonas macleodii,28108,NA,NA
GSE93202,GPL13112,Mus musculus,10090,NA,NA
GSE93206,GPL20301,Homo sapiens,9606,NA,NA
GSE93224,GPL19005,Gallus gallus,9031,NA,NA
GSE93232,GPL17639,Arabidopsis thaliana,3702,NA,NA
GSE93236,GPL10999,Homo sapiens,9606,NA,NA
GSE93237,GPL10999,Homo sapiens,9606,NA,NA
GSE93249,GPL14844,Rattus norvegicus,10116,NA,NA
GSE93252,GPL13112,Mus musculus,10090,NA,NA
GSE93267,GPL17021,Mus musculus,10090,NA,NA
GSE93279,GPL21103,Mus musculus,10090,NA,NA
GSE93280,GPL11154,Homo sapiens,9606,NA,NA
GSE93287,GPL13160,Oryza sativa,4530,NA,NA
GSE93292,GPL16791,Homo sapiens,9606,NA,NA
GSE93297,GPL22901,Phaeodactylum tricornutum CCAP 1055/1,556484,NA,NA
GSE93299,GPL18413,Danio rerio,7955,NA,NA
GSE93302,GPL17021,Mus musculus,10090,NA,NA
GSE93306,GPL13112,Mus musculus,10090,NA,NA
GSE93309,GPL19057,Mus musculus,10090,NA,NA
GSE93313,GPL13112,Mus musculus,10090,NA,NA
GSE93314,GPL17021,Mus musculus,10090,NA,NA
GSE93318,GPL13112,Mus musculus,10090,NA,NA
GSE93321,GPL16791,Homo sapiens,9606,NA,NA
GSE93324,GPL13112,Mus musculus,10090,NA,NA
GSE93326,GPL11154,Homo sapiens,9606,NA,NA
GSE93326,GPL20301,Homo sapiens,9606,NA,NA
GSE93331,GPL19057,Mus musculus,10090,NA,NA
GSE93339,GPL21103,Mus musculus,10090,NA,NA
GSE93345,GPL19664,Aedes aegypti,7159,NA,NA
GSE93352,GPL10558,Homo sapiens,9606,NA,NA
GSE93357,GPL13112,Mus musculus,10090,NA,NA
GSE93362,GPL22905,Mycobacterium tuberculosis H37Rv,83332,NA,NA
GSE93365,GPL20301,Homo sapiens,9606,NA,NA
GSE93374,GPL19057,Mus musculus,10090,NA,NA
GSE93379,GPL13112,Mus musculus,10090,NA,NA
GSE93380,GPL17021,Mus musculus,10090,NA,NA
GSE93381,GPL17021,Mus musculus,10090,NA,NA
GSE93385,GPL18460,Homo sapiens,9606,NA,NA
GSE93386,GPL11154,Homo sapiens,9606,NA,NA
GSE93394,GPL21103,Mus musculus,10090,NA,NA
GSE93395,GPL11154,Homo sapiens,9606,NA,NA
GSE93412,GPL17021,Mus musculus,10090,NA,NA
GSE93416,GPL19057,Mus musculus,10090,NA,NA
GSE93420,GPL13222,Arabidopsis thaliana,3702,NA,NA
GSE93431,GPL13112,Mus musculus,10090,NA,NA
GSE93431,GPL19057,Mus musculus,10090,NA,NA
GSE93511,GPL16791,Homo sapiens,9606,NA,NA
GSE93514,GPL17021,Mus musculus,10090,NA,NA
