Accession,Supplementary file name,True nulls proportion,histclus,code,type,Type,comment
GSE71609,GSE71609_2015_MZT.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE71609,GSE71609_2015_MZT.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE71710,GSE71710_siDGCR8_v_siSCR_DESeq_gencode.all.symbol.txt.gz,0.84,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE71862,GSE71862_DeSeq2_MCF7_vs_MCF10A_foldchange.txt.gz,0.46,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE71902,GSE71902_WILD-vs-CPH2.txt.gz,0.83,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE71916,GSE71916_Expression_Cufflinks_siRbfox1_3+EGFP_compared_to_siNT+EGFP.txt.gz,0.96,#440154FF,NA,NA,NA,NA
GSE71916,GSE71916_Expression_Cufflinks_siRbfox1_3+Flag-Rbfox1_C_compared_to_siRbfox1_3+EGFP.txt.gz,1.00,#440154FF,NA,NA,NA,NA
GSE71916,GSE71916_Expression_Cufflinks_siRbfox1_3+Flag-Rbfox1_N_compared_to_siRbfox1_3+EGFP.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE71943,GSE71943_KO_vs_WT_diffGenes.txt.gz,0.83,#440154FF,NA,NA,NA,NA
GSE71948,GSE71948_RNASeqProcessedDESeqData.txt.gz,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE71988,GSE71988_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72059,GSE72059_21_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72105,GSE72105_Differential_Gene_Expression_Summary_D0.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72105,GSE72105_Differential_Gene_Expression_Summary_D6.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE72105,GSE72105_Differential_Gene_Expression_Summary_myotubes.txt.gz,0.92,#440154FF,NA,NA,NA,NA
GSE72105,GSE72105_Differential_Gene_Expression_Summary_usp10.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72172,GSE72172_S2_vs_SIN3_187.txt.gz,0.89,#440154FF,NA,NA,NA,NA
GSE72178,GSE72178_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72321,GSE72321_annotated_diffana_6-OHDA-6-OHDA_En.xlsx,0.94,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE72321,GSE72321_annotated_diffana_gain-of-function_En1-ipsi-contra.xlsx,1.00,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE72321,GSE72321_annotated_diffana_loss-of-function_En1LacZ-WT.xlsx,1.00,#440154FF,26,2,conservative,Identical comparisons? Adjusted p values?
GSE72341,GSE72341_DEseq_results.xlsx,0.94,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE72390,GSE72390_DiffExpr_Location_7-12_vs_1-6_Oncorhynchus_keta_de_novo.xlsx,0.90,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE72491,GSE72491_PCBP2_KO_v_WT_DESeq_gencode.all.name.txt.gz,0.72,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE72560,GSE72560_Enteric_Glia.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-d_lt40,1.00,#414487FF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_40-70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_40-70_over_EST-u.cuffdiff,0.98,#414487FF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_gt70_over_ESCd_40-70.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_40-70,1.00,#414487FF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_gt70_over_ESCd_lt40.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-d_lt40,1.00,#414487FF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_gt70_over_ESCu.cuffdiff.xlsx-sheet-EST-d_gt70_over_EST-u.cuffdiff,0.98,#414487FF,NA,NA,NA,NA
GSE72712,GSE72712_ESCd_lt40_over_ESCu.cuffdiff.xlsx-sheet-EST-d_lt40_over_EST-u.cuffdiff,0.97,#414487FF,NA,NA,NA,NA
GSE72761,GSE72761_DESeq_LS007-LS008-LS010_LS015-LS016-LS018_DEG_list.txt.gz,0.98,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE72762,GSE72762_DEseq_LS023-LS024-LS025_LS030-LS031-LS032_DEG_list.txt.gz,0.99,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE72764,GSE72764_DEseq_LS39-LS40-LS42_LS44-LS45-LS48_DEG_list.csv.gz,0.97,#440154FF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE72787,GSE72787_deseq2_closed_vs_open.tsv.gz,0.94,#440154FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_HEAT_gene_exp.diff.gz,0.81,#440154FF,NA,NA,NA,NA
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_SALT_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72806,GSE72806_CUFFDIFF_CONTROL_vs_SALT_HEAT_gene_exp.diff.gz,0.80,#440154FF,NA,NA,NA,NA
GSE72820,GSE72820_MDA1N-1P_RPKM.xlsx.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72820,GSE72820_MDA27N-27P_RPKM.xlsx.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72820,GSE72820_MDA2N-2P_RPKM.xlsx.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72820,GSE72820_MDA31N-31P_RPKM.xlsx.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72820,GSE72820_MDA33N-33P_RPKM.xlsx.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72820,GSE72820_MDA34N-34P_RPKM.xlsx.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72820,GSE72820_MDA3N-3P_RPKM.xlsx.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72830,GSE72830_gene_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE72830,GSE72830_tss_group_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE72860,GSE72860_RNA-seq_log2fdc.txt.gz,0.72,#440154FF,16,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE72860,GSE72860_RRBS_CpG_methylation_call.txt.gz,0.84,#440154FF,126,2,conservative,Identical comparisons? Adjusted p values?
GSE72917,GSE72917_DP1_WTvKO.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE72917,GSE72917_DP2_WTvKO.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE72917,GSE72917_KO_DP1vDP2.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72917,GSE72917_WT_DP1vDP2.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE72947,GSE72947_Dm_sir2_RNA-seq.xlsx-sheet-Analyzed Genes,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE72994,GSE72994_cds_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72994,GSE72994_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE72994,GSE72994_isoform_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72994,GSE72994_promoters.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE72994,GSE72994_tss_group_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE73077,GSE73077_fpkm_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE73082,GSE73082_F_Sp5_PlusversusMinusDOX_ProcessedFiles.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE73083,GSE73083_3F_Lef1_PlusversusMinusDOX_ProcessedFiles.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE73192,GSE73192_cds_chromosome_exp.diff.gz,0.99,#440154FF,NA,NA,NA,NA
GSE73289,GSE73289_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE73321,GSE73321_FW_VS_BW_expression_diff.txt.gz,1.00,#2A788EFF,3,4,other,Test assumptions violated? Adjusted P values?
GSE73376,GSE73376_full_list_edgeR_annotated_DGCR8.txt.gz,0.80,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE73376,GSE73376_full_list_edgeR_annotated_RRP6.txt.gz,0.82,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE73678,GSE73678_Differential_gene_expression.xlsx.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE73893,GSE73893_Results_DEXseq.txt.gz,0.85,#440154FF,5,4,other,Test assumptions violated? Adjusted P values?
GSE73940,GSE73940_cuffdiff.gene_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE73940,GSE73940_cuffdiff.isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE73972,GSE73972_atxvsWT_gene_exp_diff.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE74103,GSE74103_Tobacco_FS_v_WT_DESeq_refGene.all.annotated.txt.gz,0.62,#22A884FF,NA,NA,NA,NA
GSE74103,GSE74103_Tobacco_G1_v_WT_DESeq_refGene.all.annotated.txt.gz,0.42,#22A884FF,NA,NA,NA,NA
GSE74103,GSE74103_Tobacco_GS_v_WT_DESeq_refGene.all.annotated.txt.gz,0.29,#22A884FF,NA,NA,NA,NA
GSE74131,GSE74131_gene_exp.diff.gz,0.99,#414487FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,0.88,#440154FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,0.95,#440154FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,0.99,#440154FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,1.00,#440154FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,1.00,#440154FF,NA,NA,NA,NA
GSE74148,GSE74148_RNA-seq0415.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE74168,GSE74168_expressed_transcripts_RNAseq_GLIrnai_posterior_midgut_EC.txt.gz,0.44,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE74171,GSE74171_expressed_transcript_aging_RNAseq_posterior_midgut.txt.gz,0.51,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE74196,GSE74196_SnapC_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE74220,GSE74220_Expression_of_Protein_Coding_Genes_in_Control_and_IL1b_treated_human_chondrocytes.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE74381,GSE74381_gene_exp_control2vsZeb2cKO2diff.xlsx,0.78,#440154FF,NA,NA,NA,NA
GSE74868,GSE74868_ETS2_T72D_OE_Epi_RNAseq.txt.gz,0.94,#440154FF,NA,NA,NA,NA
GSE74886,GSE74886_processedFPKMS.xlsx,0.81,#440154FF,NA,NA,NA,NA
GSE74893,GSE74893_ctrl_and_Tsc1ckO_gene_exp.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE74920,GSE74920_SupplementalTable1.xlsx.gz,0.50,#22A884FF,NA,NA,NA,NA
GSE74920,GSE74920_SupplementalTable3.xlsx.gz,0.68,#440154FF,NA,NA,NA,NA
GSE74929,GSE74929_ANOVA_gene_rpkm.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE74929,GSE74929_Diff_Exp.txt.gz,0.22,#22A884FF,NA,NA,NA,NA
GSE74993,GSE74993_SupplementalTables.xlsx-sheet-Table S1,0.50,#22A884FF,NA,NA,NA,NA
GSE74993,GSE74993_SupplementalTables.xlsx-sheet-Table S3,0.68,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE75247,GSE75247_processed_data.txt.gz,0.64,#440154FF,NA,NA,NA,NA
GSE75247,GSE75247_processed_data.txt.gz,0.70,#440154FF,NA,NA,NA,NA
GSE75332,GSE75332_Ad_AGGF1vsAd_NC.Differential_analysis_results.txt.gz,0.88,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE75510,GSE75510_diffExonExprZH1vsB6.txt.gz,0.94,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE75510,GSE75510_diffExonExprZH3vsB6.txt.gz,0.91,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE75614,GSE75614_processed_data_mrna-seq_differential_expression.xlsx,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75640,GSE75640_HR1_vs_control_1_gene_exp.diff.gz,0.83,#440154FF,NA,NA,NA,NA
GSE75640,GSE75640_HR2_vs_control_2_gene_exp.diff.gz,0.97,#2A788EFF,NA,NA,NA,NA
GSE75787,GSE75787_gene_exp.diff.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P2_gene_exp_down,0.76,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P2_gene_exp_up,0.99,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P7_gene_exp_down,0.88,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P14_P7_gene_exp_up,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P7_P2_gene_exp_down,0.94,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_groupwise_comparisons.xlsx-sheet-P7_P2_gene_exp_up,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P14_2_P14_3_gene_exp_down,1.00,#440154FF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P14_2_P14_3_gene_exp_up,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P2_1_P2_3_gene_exp_down,1.00,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P2_1_P2_3_gene_exp_up,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P7_1_P7_2_gene_exp_down,1.00,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE75832,GSE75832_DifferentialExpression_withingroup.xlsx-sheet-P7_1_P7_2_gene_exp_up,1.00,#414487FF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE75833,GSE75833_DESeq-processed_FB.control_vs_BR.txt.gz,0.60,#22A884FF,NA,NA,NA,NA
GSE75833,GSE75833_DESeq-processed_FB.control_vs_FB.25mkM.4HT.txt.gz,1.00,#2A788EFF,23,2,conservative,Identical comparisons? Adjusted p values?
GSE75878,GSE75878_cds_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE75878,GSE75878_cds.diff.gz,0.59,#440154FF,NA,NA,NA,NA
GSE75878,GSE75878_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE75878,GSE75878_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE75878,GSE75878_promoters.diff.gz,0.44,#7AD151FF,NA,NA,NA,NA
GSE75878,GSE75878_splicing.diff.gz,0.38,#7AD151FF,NA,NA,NA,NA
GSE75878,GSE75878_tss_group_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE75962,GSE75962_control_vs_H2O2.DEseq.txt.gz,0.77,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE75993,GSE75993_processed_data.xls.gz-sheet-1_WT_vs_KO_DESeq_All,0.94,#440154FF,NA,NA,NA,NA
GSE76125,GSE76125_SenesUntreated_vs_SenesTreated_gene_exp.diff.gz,0.97,#414487FF,NA,NA,NA,NA
GSE76151,GSE76151_A1_isoform_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76151,GSE76151_A2B1_isoform_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76151,GSE76151_A2B1A1_isoform_exp.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8535_vs_OtA8538_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8536_vs_OtA8539_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8537_vs_OtA8540_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8538_vs_OtA8541_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8539_vs_OtA8542_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76190,GSE76190_OtA8540_vs_OtA8543_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76232,GSE76232_isoforms.diff_exp_ann_result.xls.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE76257,GSE76257_O-VG_OGS2.csv.gz,0.63,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE76287,GSE76287_rosettes_col0vdko_tair.txt.gz,0.96,#440154FF,NA,NA,NA,NA
GSE76287,GSE76287_seedling_col0vdko_tair.txt.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE76304,GSE76304_gene_exp.diff.gz,0.81,#440154FF,NA,NA,NA,NA
GSE76396,GSE76396_isoform_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE76453,GSE76453_cuffdiff_E2.diff.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE76453,GSE76453_cuffdiff_siCtl.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76453,GSE76453_cuffdiff_siZNF143.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76453,GSE76453_cuffdiff_veh.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76487,GSE76487_shMBNL1_gene_exp_diff.txt.gz,0.95,#440154FF,NA,NA,NA,NA
GSE76533,GSE76533_leaf.gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE76533,GSE76533_seedling.gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76627,GSE76627_CNBP-cuffdif.xlsx.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76682,GSE76682_EB_AM580gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76683,GSE76683_shHOXA7gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76771,GSE76771_ALL_gene_expression.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE76864,GSE76864_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76865,GSE76865_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE76868,GSE76868_Table_S1_RNA-seq.xlsx,0.95,#2A788EFF,NA,NA,NA,NA
GSE76992,GSE76992_GFP_vs_p16.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE77025,GSE77025_gene_exp.diff.gz,0.35,#22A884FF,NA,NA,NA,NA
GSE77032,GSE77032_aza_vs_PBS.gene_exp.tsv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77032,GSE77032_aza_vs_vc.gene_exp.tsv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77032,GSE77032_combo_vs_aza.gene_exp.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77032,GSE77032_combo_vs_PBS.gene_exp.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77032,GSE77032_combo_vs_vc.gene_exp.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77032,GSE77032_vc_vs_PBS.gene_exp.tsv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77034,GSE77034_aza_vs_PBS.gene_exp.tsv.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE77034,GSE77034_aza_vs_vc.gene_exp.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77034,GSE77034_combo_vs_aza.gene_exp.tsv.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77034,GSE77034_combo_vs_PBS.gene_exp.tsv.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE77034,GSE77034_combo_vs_vc.gene_exp.tsv.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE77034,GSE77034_vc_vs_PBS.gene_exp.tsv.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77037,GSE77037_gene_exp.diff.gz,0.91,#440154FF,NA,NA,NA,NA
GSE77044,GSE77044_comparison2.xls.gz,0.69,#440154FF,NA,NA,NA,NA
GSE77077,GSE77077_HT_data_36hpf.xls.gz,0.43,#22A884FF,NA,NA,NA,NA
GSE77113,GSE77113_GC_WT_vs_Hdac3KO.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77113,GSE77113_Hdac3KO_non-GC_vs_GC.diff.gz,0.96,#440154FF,NA,NA,NA,NA
GSE77113,GSE77113_non-GC_WT_vs_Hdac3KO.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77113,GSE77113_WT_non-GC_vs_GC.diff.gz,0.90,#440154FF,NA,NA,NA,NA
GSE77185,GSE77185_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77218,GSE77218_A3_A2.xlsx-sheet-express,0.59,#440154FF,NA,NA,NA,NA
GSE77218,GSE77218_A4_A2.xlsx-sheet-express,0.60,#440154FF,NA,NA,NA,NA
GSE77218,GSE77218_A4_A3.xlsx-sheet-express,0.69,#440154FF,NA,NA,NA,NA
GSE77229,GSE77229_gene_exp.diff.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_all_HFSCs.txt.gz,0.91,#440154FF,NA,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_Anagen_HFSCs.txt.gz,0.98,#2A788EFF,NA,NA,NA,NA
GSE77256,GSE77256_Cuffdiff_Telogen_HFSCs.txt.gz,0.99,#2A788EFF,NA,NA,NA,NA
GSE77303,GSE77303_gene_exp.diff.gz,0.96,#414487FF,NA,NA,NA,NA
GSE77304,GSE77304_gene_exp.diff.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77351,GSE77351_Farshchian.txt.gz,0.85,#440154FF,NA,NA,NA,NA
GSE77395,GSE77395_A_OE_air_vs_Col_air.diff.gz,0.61,#440154FF,NA,NA,NA,NA
GSE77395,GSE77395_col_air_vs_ethylene.diff.gz,0.82,#440154FF,NA,NA,NA,NA
GSE77398,GSE77398_mal_all6_cuffdiff_genes.xls.gz,0.76,#440154FF,NA,NA,NA,NA
GSE77398,GSE77398_ribo_cuffdiff_genes.xls.gz,0.96,#2A788EFF,NA,NA,NA,NA
GSE77422,GSE77422_H358_Control-GNF5.xlsx-sheet-Sheet1,1.00,#440154FF,NA,NA,NA,NA
GSE77422,GSE77422_PC9_Control-GNF5.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE77422,GSE77422_PC9_SCR-AA.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE77422,GSE77422_PC9M_Control-GNF5.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE77422,GSE77422_PC9M_SCR-AA.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE77471,GSE77471_RNASEQ_differential_expression.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE77499,GSE77499_Dd2CQ_Dd2_3D7_gene_exp.diff.gz,1.00,#440154FF,NA,NA,NA,NA
GSE77499,GSE77499_Dd2CQ_Dd2_3D7_isoform_exp.diff.gz,1.00,#440154FF,NA,NA,NA,NA
GSE77675,GSE77675_Old_vs_Young_isoforms_expression.txt.gz,0.95,#2A788EFF,NA,NA,NA,NA
GSE77693,GSE77693_deseq.comparison.csv.gz,0.78,#440154FF,6,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
GSE77769,GSE77769_RNA_diff_final.txt.gz,0.97,#440154FF,NA,NA,NA,NA
GSE77793,GSE77793_gene_exp_diff_fc_hepatocytes_DMSO_GL_TamerSallam_122012.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE77862,GSE77862_nhay_-_Alb-Cre.xlsx,1.00,#2A788EFF,NA,NA,NA,NA
GSE77901,GSE77901_SLNCR1_vs_vector.deseq.txt.gz,0.88,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE77901,GSE77901_SLNCR1cons_vs_vector.deseq.txt.gz,0.94,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE77901,GSE77901_SLNCR1deltacons_vs_vector.deseq.txt.gz,0.88,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE77902,GSE77902_WM1976_siRNA1_vs_control.deseq.txt.gz,0.87,#2A788EFF,2,2,conservative,Identical comparisons? Adjusted p values?
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78199,GSE78199_Marsh_Cuffdiff_differential_gene_expression.txt.gz,1.00,#414487FF,NA,NA,NA,NA
GSE78240,GSE78240_DESeq_Output.txt.gz,0.66,#440154FF,1,1,anti-conservative,Pi0 can be calculated
GSE78506,GSE78506_dmso_vs_ca_24Hour_geneExp.diff.gz,0.95,#440154FF,NA,NA,NA,NA
GSE78527,GSE78527_siSNRNP40_siControl_processed.txt.gz,1.00,#2A788EFF,NA,NA,NA,NA
GSE78711,GSE78711_gene.exp.all.txt.gz,0.82,#440154FF,NA,NA,NA,NA
GSE78824,GSE78824_Cuffdiff_transcript_differential_expression_testing.tab.gz,0.78,#440154FF,NA,NA,NA,NA
GSE78878,GSE78878_30Cvs30P_score.txt.gz,0.49,#22A884FF,1,1,anti-conservative,Pi0 can be calculated
GSE78878,GSE78878_30CvsN2C_score.txt.gz,0.57,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE78878,GSE78878_30PvsN2P_score.txt.gz,0.54,#440154FF,12,2,conservative,Identical comparisons? Adjusted p values?
GSE78878,GSE78878_N2CvsN2P_score.txt.gz,0.54,#440154FF,NA,NA,NA,NA
GSE78902,GSE78902_DEseq_DB001-DB004_DB002-DB003_DEG_list.csv.gz,1.00,#2A788EFF,36,3,spiky,Many identical values in the dataset? (low counts resulting in discrete distributions)
